STATE_UT,DISTRICT,YEAR,MURDER,ATTEMPT_MURDER,CULPABLE_HOMICIDE,RAPE,CUSTODIAL_RAPE,KIDNAPPING_ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,RIOTS,CRIMINAL_BREACH_TRUST,CHEATING,ARSON,HURT,DOWRY_DEATHS,ASSAULT_WOMEN,INSULT_WOMEN,CRUELTY_WOMEN,IMPORTATION_GIRLS,DEATH_BY_NEGLIGENCE,OTHER_IPC,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,WOMEN_CRIME_SHARE,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,RAPE_SHARE,KIDNAPPING_SHARE,SOURCE_DATASET,RECORD_ID,YEAR_NORMALIZED,WOMEN_VIOLENCE,RAPE_RATE_PROXY,KIDNAPPING_RATE_PROXY,MURDER_SHARE,ROBBERY_SHARE,THEFT_SHARE,BURGLARY_SHARE,SERIOUS_VIOLENT_CRIME,CLUSTER
Uttar Pradesh,Fatehpur,2014,55,36,26,58,28,131,3,21,74,217,135,42,70,93,5,544,43,101,0,93,0,288,563,2559,295,431,450,163,47,0.11527940601797577,0.1684251660805002,0.17584994138335286,0.0226651035560765,0.0511918718249316,DATASET_03_2014,Uttar Pradesh_Fatehpur_2014,1.0,280,0.022665103556076593,0.051191871824931616,0.021492770613520906,0.008206330597889801,0.08479874951152794,0.028917545916373584,330,0
Uttar Pradesh,Firozabad,2014,140,162,31,61,0,284,8,92,112,687,453,201,62,175,19,694,55,131,0,146,0,322,756,4222,393,909,1352,237,220,0.0930838465182378,0.2153008053055424,0.3202273803884415,0.0144481288488867,0.0672666982472761,DATASET_03_2014,Uttar Pradesh_Firozabad_2014,1.0,338,0.014448128848886783,0.06726669824727617,0.03315963998105163,0.02179062055897679,0.16271909047844624,0.026527711984841308,778,0
Uttar Pradesh,G. R. P.,2014,30,15,7,5,0,39,15,27,1,4061,114,17,11,26,0,24,1,64,0,0,0,3,817,5158,70,202,4218,37,17,0.013571151609150834,0.039162466072120976,0.8177588212485459,0.0009693679720822,0.0075610701822411,DATASET_03_2014,Uttar Pradesh_G. R. P._2014,1.0,69,0.0009693679720822024,0.007561070182241178,0.0058162078324932144,0.0052345870492438926,0.7873206669251648,0.00019387359441644047,138,0
Uttar Pradesh,Gautambudh Nagar,2014,104,106,27,54,7,210,6,227,202,3680,2344,191,106,382,0,33,35,161,7,198,0,374,1774,8521,455,895,6459,488,191,0.053397488557681026,0.10503462034972422,0.7580096232836522,0.0063372843562962,0.0246449947189297,DATASET_03_2014,Uttar Pradesh_Gautambudh Nagar_2014,1.0,427,0.006337284356296209,0.024644994718929704,0.012205140241755662,0.026640065719985916,0.43187419316981573,0.023706137777256192,734,0
Uttar Pradesh,Ghaziabad,2014,166,124,40,118,14,482,8,114,210,3392,2635,70,176,493,2,35,38,283,3,575,0,398,2796,10088,1017,1335,6359,669,72,0.10081284694686757,0.13233544805709754,0.6303528945281522,0.0116970658207771,0.0477795400475812,DATASET_03_2014,Uttar Pradesh_Ghaziabad_2014,1.0,993,0.011697065820777161,0.04777954004758128,0.016455194290245837,0.011300555114988104,0.3362410785091198,0.020816812053925455,1052,0
Uttar Pradesh,Ghazipur,2014,64,70,18,24,1,128,7,32,81,260,160,113,36,93,1,545,31,69,0,67,0,107,394,1945,191,412,540,129,114,0.09820051413881747,0.21182519280205656,0.2776349614395887,0.0123393316195372,0.0658097686375321,DATASET_03_2014,Uttar Pradesh_Ghazipur_2014,1.0,161,0.012339331619537276,0.06580976863753213,0.032904884318766064,0.016452442159383032,0.13367609254498714,0.0416452442159383,343,0
Uttar Pradesh,Gonda,2014,45,50,11,37,0,139,0,18,75,180,117,48,36,135,2,474,28,56,0,12,0,132,656,2021,133,356,390,171,50,0.06580900544285008,0.17615042058386937,0.1929737753587333,0.0183077684314695,0.0687778327560613,DATASET_03_2014,Uttar Pradesh_Gonda_2014,1.0,105,0.01830776843146957,0.06877783275606135,0.022266204849084613,0.008906481939633844,0.08906481939633845,0.03711034141514102,300,0
Uttar Pradesh,Gorakhpur,2014,113,116,29,92,22,299,4,89,230,804,594,193,87,266,0,726,58,132,0,223,0,298,702,4537,505,874,1721,353,193,0.11130703107780472,0.19263830725148776,0.37932554551465725,0.0202777165527881,0.0659025787965616,DATASET_03_2014,Uttar Pradesh_Gorakhpur_2014,1.0,469,0.020277716552788184,0.0659025787965616,0.02490632576592462,0.019616486665197268,0.17720960987436632,0.050694291381970465,742,0
Uttar Pradesh,Hamirpur,2014,31,23,20,29,13,68,2,18,29,83,34,34,21,31,8,104,26,97,1,42,0,77,167,981,195,288,166,52,42,0.19877675840978593,0.29357798165137616,0.1692150866462793,0.0295616717635066,0.0693170234454638,DATASET_03_2014,Uttar Pradesh_Hamirpur_2014,1.0,182,0.029561671763506627,0.06931702344546381,0.03160040774719674,0.01834862385321101,0.08460754332313965,0.029561671763506627,191,0
Uttar Pradesh,Hapur,2014,42,71,4,46,8,82,4,35,31,493,335,40,23,88,4,21,16,62,0,70,0,171,395,1841,194,346,898,111,44,0.10537751222161869,0.18794133623030962,0.48777838131450296,0.0249864204236827,0.044541010320478,DATASET_03_2014,Uttar Pradesh_Hapur_2014,1.0,186,0.024986420423682782,0.044541010320478004,0.022813688212927757,0.019011406844106463,0.2677892449755568,0.01683867463335144,284,0
Uttar Pradesh,Hardoi,2014,79,53,19,39,0,177,2,13,47,275,145,36,45,95,1,836,40,93,0,140,0,323,792,2981,312,475,482,140,37,0.10466286481046629,0.15934250251593424,0.16169070781616907,0.0130828581013082,0.0593760483059376,DATASET_03_2014,Uttar Pradesh_Hardoi_2014,1.0,272,0.013082858101308286,0.0593760483059376,0.026501174102650116,0.004360952700436095,0.09225092250922509,0.01576652130157665,382,0
Uttar Pradesh,Hathras,2014,72,44,17,60,0,146,9,56,70,339,232,112,50,89,5,201,24,121,1,103,0,177,436,2280,309,525,706,139,117,0.1355263157894737,0.23026315789473684,0.30964912280701756,0.0263157894736842,0.0640350877192982,DATASET_03_2014,Uttar Pradesh_Hathras_2014,1.0,285,0.02631578947368421,0.06403508771929825,0.031578947368421054,0.02456140350877193,0.14868421052631578,0.03070175438596491,404,0
