STATE_UT,DISTRICT,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME
Bihar,Darbhanga,5368,386,651
Tamil Nadu,Thoothugudi,5344,133,378
Bihar,SITAMARHI,5324,193,504
Bihar,BEGUSARAI,5319,200,658
West Bengal,PURAB MIDNAPUR,5295,811,591
West Bengal,MALDA,5280,928,1071
Rajasthan,Jhunjhunu,5277,505,324
Bihar,BETTIAH,5274,213,518
Kerala,Idukki,5264,431,338
Haryana,FARIDABAD,5264,488,472
West Bengal,Howrah G. R. P.,5259,1062,786
Rajasthan,Kota City,5248,743,530
Madhya Pradesh,Shahdol,5240,749,689
Madhya Pradesh,Raisen,5204,475,600
Bihar,Rohtas,5197,182,351
Bihar,Begusarai,5196,151,687
Rajasthan,NAGAUR,5186,727,443
Karnataka,Hassan,5182,428,576
West Bengal,SILIGURI_PC,5175,886,458
Maharashtra,Sangli,5171,342,463
Uttar Pradesh,G. R. P.,5158,70,202
Chhattisgarh,BILASPUR,5147,557,884
Madhya Pradesh,CHHINDWARA,5142,538,670
West Bengal,Coochbehar,5142,1013,940
Bihar,Madhubani,5113,311,717
Tamil Nadu,KRISHNAGIRI,5101,117,311
Kerala,IDUKKI,5101,443,373
Tamil Nadu,Krishnagiri,5095,81,298
Uttar Pradesh,VARANASI,5077,650,722
Maharashtra,NANDED,5058,576,482
Maharashtra,SOLAPUR RURAL,5057,369,507
Tamil Nadu,COIMBATORE RURAL,5053,109,269
Rajasthan,Hanumangarh,5021,869,497
Kerala,Kasargod,5016,396,273
Andhra Pradesh,Vizianagaram,5013,937,372
Madhya Pradesh,Sehore,5006,462,542
Bihar,Siwan,5003,138,616
Tamil Nadu,Coimbatore,4996,75,250
Karnataka,Mandya,4984,480,572
Rajasthan,CHITTORGARH,4980,1022,508
Madhya Pradesh,DEWAS,4980,328,332
Rajasthan,BIKANER,4978,697,372
West Bengal,BURDWAN,4973,567,721
Maharashtra,Kolhapur,4942,425,719
Jharkhand,Dhanbad,4929,235,441
Andhra Pradesh,VIZIANAGARAM,4918,695,310
Bihar,BHOJPUR,4888,201,453
Assam,CACHAR,4880,653,422
Andhra Pradesh,GUNTUR URBAN,4878,578,324
Rajasthan,KOTA CITY,4872,710,506
Madhya Pradesh,Bhind,4870,336,613
Madhya Pradesh,Hoshangabad,4870,424,564
Chhattisgarh,Bilaspur,4870,398,680
Maharashtra,Beed,4864,663,700
Karnataka,Belagavi District,4851,462,574
West Bengal,HOWRAH,4849,850,438
Andhra Pradesh,SRIKAKULAM,4841,742,372
Gujarat,KHEDA NORTH,4838,184,179
Karnataka,TUMKUR,4829,344,493
Rajasthan,HANUMANGARH,4825,841,453
Maharashtra,Aurangabad Commr.,4821,425,635
Maharashtra,KOLHAPUR,4800,456,562
Madhya Pradesh,KHARGON,4800,469,595
West Bengal,ASANSOL,4785,587,392
Uttar Pradesh,Mathura,4779,502,729
Uttar Pradesh,Bulandshahar,4775,377,1149
Madhya Pradesh,SHIVPURI,4772,422,511
Bihar,ROHTAS,4769,210,509
Jharkhand,DHANBAD,4768,197,444
Bihar,Bhagalpur,4763,264,524
Rajasthan,JHUNJHUNU,4752,529,304
West Bengal,PASCHIM MIDNAPUR,4739,964,877
West Bengal,Asansol-Durgapur PC,4738,743,599
Jharkhand,JAMSHEDPUR,4727,377,462
Andhra Pradesh,Srikakulam,4727,646,358
Maharashtra,BEED,4713,721,690
Uttar Pradesh,BULANDSHAHAR,4712,510,1161
Bihar,Bettiah,4712,178,250
Tamil Nadu,Salem,4696,81,243
Maharashtra,Palghar,4692,377,756
Tamil Nadu,Trichy,4688,109,195
Madhya Pradesh,VIDISHA,4687,519,608
Gujarat,RAJKOT RURAL,4683,478,246
Rajasthan,Jhalawar,4666,971,765
Kerala,Kozhikode Commr.,4665,336,219
Rajasthan,Tonk,4663,505,318
Bihar,MADHUBANI,4662,276,319
Madhya Pradesh,RAISEN,4656,455,470
Haryana,Panipat,4654,406,408
Rajasthan,KARAULI,4636,319,330
West Bengal,Siliguri PC,4623,759,508
Tamil Nadu,THIRUVANNAMALAI,4614,119,251
Rajasthan,Karauli,4612,381,365
Haryana,Bhiwani,4604,275,417
Maharashtra,Nanded,4600,379,505
Maharashtra,AURANGABAD RURAL,4565,521,414
Maharashtra,Nagpur Rural,4564,366,485
Delhi UT,CENTRAL,4562,325,581
Madhya Pradesh,Ratlam,4560,366,519
Tamil Nadu,Theni,4554,102,224
Jammu & Kashmir,JAMMU,4547,272,324
Madhya Pradesh,Guna,4539,403,599
Uttar Pradesh,Gorakhpur,4537,505,874
Madhya Pradesh,Khargone,4533,482,584
Madhya Pradesh,CHHATARPUR,4527,402,476
Karnataka,GULBARGA,4524,309,527
Karnataka,Tumakuru,4523,388,477
Rajasthan,Baran,4515,626,565
Tamil Nadu,Salem City,4504,72,168
Uttar Pradesh,MUZAFFARNAGAR,4496,469,1259
Maharashtra,CHANDRAPUR,4476,578,429
Gujarat,Banaskantha,4464,443,449
Madhya Pradesh,Chhatarpur,4463,406,625
Maharashtra,Buldhana,4453,520,529
Karnataka,Kalaburgi,4448,350,513
Uttar Pradesh,GORAKHPUR,4444,332,907
Maharashtra,Chandrapur,4441,556,526
Andhra Pradesh,WARANGAL URBAN,4440,455,284
West Bengal,COOCHBEHAR,4437,997,712
Maharashtra,Akola,4433,432,540
Madhya Pradesh,RAJGARH,4433,424,490
Tamil Nadu,DHARMAPURI,4416,139,399
Tamil Nadu,Thiruvannamalai,4411,71,253
Gujarat,BHAVNAGAR,4410,295,306
Telangana,Warangal,4407,482,374
Maharashtra,NASIK COMMR.,4401,313,362
Gujarat,Surat City,4397,571,605
Rajasthan,Dholpur,4395,391,346
Rajasthan,Barmer,4388,661,516
Uttar Pradesh,MATHURA,4386,386,661
Tamil Nadu,Nagapattinam,4386,80,214
Jharkhand,GIRIDIH,4378,444,369
Tamil Nadu,Erode,4370,45,168
Karnataka,RAMANAGAR,4363,230,439
Tamil Nadu,Dharmapuri,4354,71,308
Madhya Pradesh,SHAHDOL,4344,542,559
Tamil Nadu,ERODE,4342,60,211
Tamil Nadu,VIRUDHUNAGAR,4336,100,244
Madhya Pradesh,BHIND,4333,255,472
Karnataka,Bidar,4333,242,299
Odisha,Puri,4317,434,637
Tamil Nadu,THENI,4311,133,260
Haryana,Sonipat,4311,350,484
Odisha,Balasore,4305,1084,1209
Haryana,KARNAL,4302,499,767
Tamil Nadu,Virudhunagar,4285,70,247
Tamil Nadu,Coimbatore City,4281,76,220
Gujarat,Ahmedabad Rural,4266,191,238
Karnataka,Ramanagar,4249,257,469
Gujarat,JAMNAGAR,4247,537,231
Maharashtra,NAGPUR RURAL,4242,338,394
Jammu & Kashmir,Jammu,4238,364,336
Maharashtra,Aurangabad Rural,4237,436,417
Assam,Sibsagar,4236,536,585
Uttar Pradesh,Firozabad,4222,393,909
Rajasthan,Sawai Madhopur,4212,463,361
Tamil Nadu,KANYAKUMARI,4203,136,316
Uttar Pradesh,Saharanpur,4184,462,836
Uttar Pradesh,G.R.P.,4169,91,250
Assam,SONITPUR,4159,448,542
Rajasthan,JHALAWAR,4133,912,709
Tamil Nadu,TRICHY RURAL,4131,115,223
Uttar Pradesh,Pratapgarh,4128,438,774
Rajasthan,Jaipur North,4120,417,342
Karnataka,Mysuru District,4118,374,432
Karnataka,MYSORE RURAL,4116,173,305
Tamil Nadu,NAMAKKAL,4113,106,254
Gujarat,JUNAGADH,4099,555,248
Delhi UT,NORTH,4081,358,628
Rajasthan,SAWAI MADHOPUR,4077,310,260
Chandigarh,CHANDIGARH,4077,307,597
Maharashtra,Latur,4070,560,561
Odisha,BALASORE,4067,820,775
Gujarat,AHMEDABAD RURAL,4050,217,262
Tamil Nadu,Tiruppur,4049,57,205
Haryana,Karnal,4047,438,693
Tamil Nadu,Kanyakumari,4041,68,252
Tamil Nadu,Thiruvarur,4041,13,136
Tamil Nadu,Thiruvallur,4037,31,132
Maharashtra,AURANGABAD COMMR.,4033,389,513
Uttar Pradesh,FIROZABAD,4026,382,742
Uttar Pradesh,Moradabad,4026,718,741
Maharashtra,BULDHANA,4024,467,411
Rajasthan,TONK,4022,473,223
Madhya Pradesh,Khandwa,4011,480,565
Rajasthan,JAIPUR NORTH,4005,409,341
Tamil Nadu,Namakkal,4003,62,179
Tamil Nadu,THIRUVALLUR,4003,60,146
Rajasthan,BARMER,3996,540,343
Jharkhand,Jamshedpur,3985,227,393
Karnataka,Chitradurga,3981,364,409
Maharashtra,AKOLA,3979,406,457
Karnataka,CHITRADURGA,3970,280,340
Kerala,KOZHIKODE COMMR.,3966,320,226
Karnataka,BIDAR,3963,228,261
