RECORD_ID,STATE/UT,DISTRICT,YEAR,WOMEN_CRIME_TOTAL,WOMEN_VIOLENCE,RAPE_RATE_PROXY,KIDNAPPING_RATE_PROXY,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,MURDER_SHARE,ROBBERY_SHARE,YEAR_NORMALIZED
BIHAR_GAYA_2001_1,BIHAR,GAYA,2001,168,168,0.007854225573358466,0.020735155513666354,1200,779,136,440,0.3770028275212064,0.24473766886584983,0.06283380458686773,0.03581526861451461,0.0
BIHAR_GOPALGANJ_2001_1,BIHAR,GOPALGANJ,2001,251,249,0.006193425440686041,0.0281086231538828,545,339,120,233,0.2596474511672225,0.1615054787994283,0.050976655550262026,0.034778465936160075,0.0
BIHAR_JAMALPUR_RLY._2001_1,BIHAR,JAMALPUR RLY.,2001,7,7,0.004424778761061947,0.017699115044247787,20,140,3,0,0.08849557522123894,0.6194690265486725,0.030973451327433628,0.05752212389380531,0.0
BIHAR_JAMUI_2001_1,BIHAR,JAMUI,2001,63,63,0.009551098376313277,0.013371537726838587,517,157,18,135,0.49379178605539636,0.14995224450811842,0.06399235912129896,0.013371537726838587,0.0
BIHAR_JEHANABAD_2001_1,BIHAR,JEHANABAD,2001,70,70,0.004431314623338257,0.0258493353028065,347,211,51,170,0.25627769571639586,0.15583456425406203,0.05391432791728213,0.01624815361890694,0.0
BIHAR_KATIHAR_2001_1,BIHAR,KATIHAR,2001,141,141,0.028145695364238412,0.02704194260485651,396,274,54,194,0.2185430463576159,0.15121412803532008,0.033112582781456956,0.016556291390728478,0.0
BIHAR_KATIHAR_RLY._2001_1,BIHAR,KATIHAR RLY.,2001,5,5,0.0,0.007177033492822967,35,270,9,9,0.08373205741626795,0.645933014354067,0.01674641148325359,0.045454545454545456,0.0
BIHAR_KHAGARIA_2001_1,BIHAR,KHAGARIA,2001,58,58,0.005580357142857143,0.03794642857142857,302,138,10,168,0.33705357142857145,0.15401785714285715,0.08035714285714286,0.03236607142857143,0.0
BIHAR_KISHANGANJ_2001_1,BIHAR,KISHANGANJ,2001,91,90,0.024498886414253896,0.025612472160356347,171,120,20,124,0.19042316258351893,0.133630289532294,0.02783964365256125,0.011135857461024499,0.0
BIHAR_LAKHISARAI_2001_1,BIHAR,LAKHISARAI,2001,63,63,0.013245033112582781,0.039735099337748346,225,126,11,97,0.2980132450331126,0.16688741721854305,0.08079470198675497,0.017218543046357615,0.0
BIHAR_MADHEPURA_2001_1,BIHAR,MADHEPURA,2001,79,79,0.010348071495766699,0.04609595484477893,278,130,29,165,0.26152398871119475,0.12229539040451552,0.05268109125117592,0.02916274694261524,0.0
