state_name,district,STATE_UT,DISTRICT,YEAR,TARGET_YEAR,PREDICTED_WOMEN_CRIME_SHARE_CLIPPED,PREDICTED_RISK_BAND,TOTAL_IPC,GIS_EXACT_MATCH
Jammu & Kashmir,Rajouri,Jammu & Kashmir,RAJOURI,2013,2014,0.0764707958264254,MEDIUM,1814,True
Jammu & Kashmir,Srinagar,Jammu & Kashmir,SRINAGAR,2013,2014,0.1281012353981852,HIGH,2792,True
Jammu & Kashmir,Udhampur,Jammu & Kashmir,UDHAMPUR,2013,2014,0.0658620821924189,MEDIUM,1140,True
Jammu & Kashmir,Kishtwar,Jammu & Kashmir,KISHTWAR,2013,2014,0.0868834767999844,HIGH,391,True
Jammu & Kashmir,Ramban,Jammu & Kashmir,RAMBAN,2013,2014,0.042897680703392,LOW,737,True
Jammu & Kashmir,Kulgam,Jammu & Kashmir,KULGAM,2013,2014,0.1556654638990282,HIGH,941,True
Jammu & Kashmir,Bandipora,Jammu & Kashmir,BANDIPORA,2013,2014,0.1025582707791785,HIGH,653,True
Jammu & Kashmir,Samba,Jammu & Kashmir,SAMBA,2013,2014,0.0642963419713866,MEDIUM,777,True
Jammu & Kashmir,Shopian,Jammu & Kashmir,SHOPIAN,2013,2014,0.0865255994491762,HIGH,387,True
Jammu & Kashmir,Ganderbal,Jammu & Kashmir,GANDERBAL,2013,2014,0.1174629144206862,HIGH,553,True
Jammu & Kashmir,Reasi,Jammu & Kashmir,REASI,2013,2014,0.070288248599249,MEDIUM,704,True
Karnataka,Bidar,Karnataka,BIDAR,2013,2014,0.0798377310769511,MEDIUM,3963,True
Karnataka,Chitradurga,Karnataka,CHITRADURGA,2013,2014,0.0809896336253233,MEDIUM,3970,True
Karnataka,Gadag,Karnataka,GADAG,2013,2014,0.1016212135542617,HIGH,1092,True
Karnataka,Hassan,Karnataka,HASSAN,2013,2014,0.0872902959714154,HIGH,5433,True
Karnataka,Haveri,Karnataka,HAVERI,2013,2014,0.0914907618989973,HIGH,2157,True
Karnataka,Kodagu,Karnataka,KODAGU,2013,2014,0.0792960058131073,MEDIUM,1707,True
Karnataka,Kolar,Karnataka,KOLAR,2013,2014,0.0534087392991808,MEDIUM,2275,True
Karnataka,Koppal,Karnataka,KOPPAL,2013,2014,0.098080992041561,HIGH,1732,True
Karnataka,Mandya,Karnataka,MANDYA,2013,2014,0.083842623399734,MEDIUM,5544,True
Karnataka,Raichur,Karnataka,RAICHUR,2013,2014,0.1281451776176909,HIGH,3062,True
Karnataka,Udupi,Karnataka,UDUPI,2013,2014,0.0813665479969374,MEDIUM,2667,True
Kerala,Idukki,Kerala,IDUKKI,2013,2014,0.0898513477851581,HIGH,5101,True
Kerala,Kannur,Kerala,KANNUR,2013,2014,0.1078272104301605,HIGH,6899,True
Kerala,Kottayam,Kerala,KOTTAYAM,2013,2014,0.0626605936853097,MEDIUM,12314,True
Kerala,Malappuram,Kerala,MALAPPURAM,2013,2014,0.0843001338964428,MEDIUM,17840,True
Kerala,Palakkad,Kerala,PALAKKAD,2013,2014,0.0877368547025143,HIGH,11848,True
Kerala,Pathanamthitta,Kerala,PATHANAMTHITTA,2013,2014,0.0711756335410187,MEDIUM,6002,True
Maharashtra,Ahmednagar,Maharashtra,AHMEDNAGAR,2013,2014,0.1009111946725214,HIGH,7934,True
Maharashtra,Akola,Maharashtra,AKOLA,2013,2014,0.0882733895327179,HIGH,3979,True
Maharashtra,Beed,Maharashtra,BEED,2013,2014,0.1491339905320374,HIGH,4713,True
Maharashtra,Bhandara,Maharashtra,BHANDARA,2013,2014,0.0759560196180346,MEDIUM,2257,True
Maharashtra,Buldhana,Maharashtra,BULDHANA,2013,2014,0.1049884810712897,HIGH,4024,True
Maharashtra,Chandrapur,Maharashtra,CHANDRAPUR,2013,2014,0.106276978149532,HIGH,4476,True
Maharashtra,Dhule,Maharashtra,DHULE,2013,2014,0.1137835161199889,HIGH,3136,True
Maharashtra,Gadchiroli,Maharashtra,GADCHIROLI,2013,2014,0.0728205635803307,MEDIUM,1033,True
Maharashtra,Gondia,Maharashtra,GONDIA,2013,2014,0.0953022113832859,HIGH,1887,True
Maharashtra,Hingoli,Maharashtra,HINGOLI,2013,2014,0.1147415578674768,HIGH,1400,True
Maharashtra,Jalgaon,Maharashtra,JALGAON,2013,2014,0.1266376219617784,HIGH,5548,True
Maharashtra,Jalna,Maharashtra,JALNA,2013,2014,0.1613297327623557,HIGH,3173,True
Maharashtra,Kolhapur,Maharashtra,KOLHAPUR,2013,2014,0.0964899590117498,HIGH,4800,True
Maharashtra,Latur,Maharashtra,LATUR,2013,2014,0.1362936886749695,HIGH,3443,True
Maharashtra,Nanded,Maharashtra,NANDED,2013,2014,0.1197157963027011,HIGH,5058,True
Maharashtra,Nandurbar,Maharashtra,NANDURBAR,2013,2014,0.1056085503685595,HIGH,1558,True
Maharashtra,Osmanabad,Maharashtra,OSMANABAD,2013,2014,0.1224974764815856,HIGH,2864,True
Maharashtra,Parbhani,Maharashtra,PARBHANI,2013,2014,0.1278986575148353,HIGH,3573,True
Maharashtra,Raigad,Maharashtra,RAIGAD,2013,2014,0.0991124430351619,HIGH,2595,True
Maharashtra,Ratnagiri,Maharashtra,RATNAGIRI,2013,2014,0.1044216465683847,HIGH,1568,True
Maharashtra,Sangli,Maharashtra,SANGLI,2013,2014,0.1148665017344414,HIGH,3353,True
Maharashtra,Satara,Maharashtra,SATARA,2013,2014,0.0997382860237097,HIGH,6086,True
Maharashtra,Sindhudurg,Maharashtra,SINDHUDURG,2013,2014,0.093495059758341,HIGH,841,True
Maharashtra,Wardha,Maharashtra,WARDHA,2013,2014,0.0845153439536632,MEDIUM,3959,True
Maharashtra,Washim,Maharashtra,WASHIM,2013,2014,0.1173801178265863,HIGH,2513,True
Maharashtra,Yavatmal,Maharashtra,YAVATMAL,2013,2014,0.1143198451606311,HIGH,12567,True
Meghalaya,Ri Bhoi,Meghalaya,RI-BHOI,2013,2014,0.0260211958776552,LOW,341,True
Manipur,Imphal East,Manipur,IMPHAL EAST,2013,2014,0.0534002183086188,MEDIUM,577,True
Manipur,Imphal West,Manipur,IMPHAL WEST,2013,2014,0.0594575769340737,MEDIUM,1366,True
Mizoram,Saiha,Mizoram,SAIHA,2013,2014,0.0822721217527744,MEDIUM,67,True
Mizoram,Serchhip,Mizoram,SERCHHIP,2013,2014,0.1024002119474489,HIGH,88,True
Nagaland,Dimapur,Nagaland,DIMAPUR,2013,2014,0.0329072494546325,LOW,572,True
Nagaland,Kohima,Nagaland,KOHIMA,2013,2014,0.0333917480684762,LOW,162,True
Nagaland,Mokokchung,Nagaland,MOKOKCHUNG,2013,2014,0.0404530967838938,LOW,88,True
Nagaland,Mon,Nagaland,MON,2013,2014,0.025169929193902,LOW,50,True
Nagaland,Phek,Nagaland,PHEK,2013,2014,0.0443180785712031,LOW,82,True
Manipur,Bishnupur,Manipur,BISHNUPUR,2013,2014,0.0496527201170751,LOW,234,True
Manipur,Chandel,Manipur,CHANDEL,2013,2014,0.0,LOW,53,True
Manipur,Churachandpur,Manipur,CHURACHANDPUR,2013,2014,0.0050872079721899,LOW,106,True
Manipur,Senapati,Manipur,SENAPATI,2013,2014,0.0,LOW,123,True
Manipur,Tamenglong,Manipur,TAMENGLONG,2013,2014,0.0,LOW,90,True
Nagaland,Tuensang,Nagaland,TUENSANG,2013,2014,0.0224409402295238,LOW,56,True
Manipur,Thoubal,Manipur,THOUBAL,2013,2014,0.0709110197899336,MEDIUM,524,True
Manipur,Ukhrul,Manipur,UKHRUL,2013,2014,0.0205363204464192,LOW,105,True
