STATE_UT,DISTRICT,YEAR,TOTAL_IPC,GIS_EXACT_MATCH
Himachal Pradesh,Mandi,2014,1939,True
Himachal Pradesh,Shimla,2014,1957,True
Himachal Pradesh,Sirmaur,2014,872,True
Himachal Pradesh,Solan,2014,947,True
Himachal Pradesh,Una,2014,1083,True
Jammu & Kashmir,Anantnag,2014,1307,True
Jammu & Kashmir,Awantipora,2014,389,False
Jammu & Kashmir,Bandipora,2014,618,True
Jammu & Kashmir,Baramulla,2014,1110,True
Jammu & Kashmir,Budgam,2014,1026,True
Jammu & Kashmir,Crime Jammu,2014,14,False
Jammu & Kashmir,Crime Srinagar,2014,43,False
Jammu & Kashmir,Doda,2014,667,True
Jammu & Kashmir,Ganderbal,2014,473,True
Jammu & Kashmir,Handwara,2014,562,False
Jammu & Kashmir,Jammu,2014,4238,True
Jammu & Kashmir,Kargil,2014,105,False
Jammu & Kashmir,Kathua,2014,1289,True
Jammu & Kashmir,Kishtwar,2014,388,True
Jammu & Kashmir,Kulgam,2014,856,True
Jammu & Kashmir,Kupwara,2014,710,True
Jammu & Kashmir,Leh,2014,166,False
Jammu & Kashmir,Poonch,2014,842,True
Jammu & Kashmir,Pulwama,2014,354,True
Jammu & Kashmir,Railways Jammu,2014,16,False
Jammu & Kashmir,Railways Kashmir,2014,13,False
Jammu & Kashmir,Railways Katra,2014,6,False
Jammu & Kashmir,Rajouri,2014,1751,True
Jammu & Kashmir,Ramban,2014,674,True
Jammu & Kashmir,Reasi,2014,753,True
Jammu & Kashmir,Samba,2014,653,True
Jammu & Kashmir,Shopian,2014,501,True
Jammu & Kashmir,Sopore,2014,634,False
Jammu & Kashmir,Srinagar,2014,2533,True
Jammu & Kashmir,Udhampur,2014,1157,True
Jharkhand,Bokaro,2014,3145,True
Jharkhand,Chaibasa,2014,954,False
Jharkhand,Chatra,2014,1284,True
Jharkhand,Deoghar,2014,2300,True
Jharkhand,Dhanbad,2014,4929,True
Jharkhand,Dhanbad Railway,2014,365,False
Jharkhand,Dumka,2014,1592,True
Jharkhand,Garhwa,2014,2582,True
Jharkhand,Giridih,2014,3491,True
Jharkhand,Godda,2014,1710,True
Jharkhand,Gumla,2014,1200,True
Jharkhand,Hazaribagh,2014,3039,True
Jharkhand,Jamshedpur,2014,3985,False
Jharkhand,Jamshedpur Railway,2014,188,False
Jharkhand,Jamtara,2014,1032,True
Jharkhand,Khunti,2014,419,True
Jharkhand,Koderma,2014,1344,True
Jharkhand,Latehar,2014,859,True
Jharkhand,Lohardagga,2014,536,False
Jharkhand,Pakur,2014,839,True
Jharkhand,Palamu,2014,2556,True
Jharkhand,Ramgarh,2014,1488,True
Jharkhand,Ranchi,2014,2447,True
Jharkhand,Sahebganj,2014,1522,True
Jharkhand,Saraikela,2014,1108,False
Jharkhand,Simdega,2014,421,True
Karnataka,Bagalkot,2014,2131,False
Karnataka,Ballari,2014,3304,True
Karnataka,Belagavi City,2014,2396,False
Karnataka,Belagavi District,2014,4851,False
Karnataka,Bengaluru City,2014,31892,False
Karnataka,Bengaluru District,2014,5567,False
Karnataka,Bidar,2014,4333,True
Karnataka,Chamarajnagar,2014,1607,False
Karnataka,Chikkaballapura,2014,2405,True
Karnataka,Chikkamagaluru,2014,2878,True
Karnataka,Chitradurga,2014,3981,True
Karnataka,Dakshina Kannada,2014,2087,True
Karnataka,Davanagere,2014,3635,False
Karnataka,Dharwad,2014,1219,True
Karnataka,Gadag,2014,1109,True
Karnataka,Hassan,2014,5182,True
Karnataka,Haveri,2014,2201,True
Karnataka,Hubballi Dharwad City,2014,1936,False
Karnataka,K.G.F.,2014,777,False
Karnataka,K.Railways,2014,948,False
Karnataka,Kalaburgi,2014,4448,False
Karnataka,Kodagu,2014,1824,True
Karnataka,Kolar,2014,2188,True
Karnataka,Koppal,2014,1883,True
Karnataka,Mandya,2014,4984,True
Karnataka,Mangaluru City,2014,3039,False
Karnataka,Mysuru City,2014,2766,False
Karnataka,Mysuru District,2014,4118,False
Karnataka,Raichur,2014,3128,True
Karnataka,Ramanagar,2014,4249,False
Karnataka,Shimoga,2014,6043,False
Karnataka,Tumakuru,2014,4523,True
Karnataka,Udupi,2014,2496,True
Karnataka,Uttara Kannada,2014,2783,True
Karnataka,Vijayapura,2014,2931,True
Karnataka,Yadgiri,2014,1496,False
Kerala,Alapuzha,2014,11033,False
Kerala,Crime Branch,2014,185,False
Kerala,Ernakulam Commr.,2014,17088,False
Kerala,Ernakulam Rural,2014,20185,False
Kerala,Idukki,2014,5264,True
Kerala,Kannur,2014,6716,True
Kerala,Kasargod,2014,5016,False
Kerala,Kollam Commr.,2014,9314,False
Kerala,Kollam Rural,2014,7910,False
Kerala,Kottayam,2014,17769,True
Kerala,Kozhikode Commr.,2014,4665,False
Kerala,Kozhikode Rural,2014,5391,False
Kerala,Malappuram,2014,18057,True
Kerala,Palakkad,2014,14780,True
Kerala,Pathanamthitta,2014,8533,True
Kerala,Railways,2014,508,False
Kerala,Thrissur Commr.,2014,6548,False
Kerala,Thrissur Rural,2014,20117,False
Kerala,Trivandrum Commr.,2014,12504,False
Kerala,Trivandrum Rural,2014,12024,False
Kerala,Wayanadu,2014,3182,False
Lakshadweep,Lakshadweep,2014,81,False
Madhya Pradesh,Agar,2014,1652,False
Madhya Pradesh,Alirajpur,2014,1161,True
Madhya Pradesh,Anuppur,2014,2666,True
Madhya Pradesh,Ashok Nagar,2014,3366,False
Madhya Pradesh,Balaghat,2014,3507,True
Madhya Pradesh,Barwani,2014,2857,True
Madhya Pradesh,Betul,2014,6822,True
Madhya Pradesh,Bhind,2014,4870,True
Madhya Pradesh,Bhopal,2014,16094,True
Madhya Pradesh,Bhopal Railway,2014,2067,False
Madhya Pradesh,Burhanpur,2014,1958,True
Madhya Pradesh,Chhatarpur,2014,4463,True
Madhya Pradesh,Chhindwara,2014,6149,True
Madhya Pradesh,Cyber Cell,2014,0,False
Madhya Pradesh,Damoh,2014,2702,True
Madhya Pradesh,Datia,2014,2783,True
Madhya Pradesh,Dewas,2014,7426,True
Madhya Pradesh,Dhar,2014,7479,True
Madhya Pradesh,Dindori,2014,3851,True
Madhya Pradesh,Guna,2014,4539,True
Madhya Pradesh,Gwalior,2014,12958,True
Madhya Pradesh,Harda,2014,2016,True
Madhya Pradesh,Hoshangabad,2014,4870,False
Madhya Pradesh,Indore,2014,23992,True
Madhya Pradesh,Indore Railway,2014,552,False
Madhya Pradesh,Jabalpur,2014,12918,True
Madhya Pradesh,Jabalpur Railway,2014,1159,False
Madhya Pradesh,Jhabua,2014,2990,True
