STATE_UT,DISTRICT,YEAR,TOTAL_IPC
Tamil Nadu,Erode,2014,4370
Tamil Nadu,Kanchipuram,2014,8066
Tamil Nadu,Karur,2014,2241
Tamil Nadu,Krishnagiri,2014,5095
Tamil Nadu,Madurai,2014,8212
Tamil Nadu,Nagapattinam,2014,4386
Tamil Nadu,Namakkal,2014,4003
Tamil Nadu,Perambalur,2014,1770
Tamil Nadu,Salem,2014,4696
Tamil Nadu,Thanjavur,2014,6225
Tamil Nadu,Theni,2014,4554
Tamil Nadu,Thiruvallur,2014,4037
Tamil Nadu,Thiruvarur,2014,4041
Tamil Nadu,Tiruppur,2014,4049
Tamil Nadu,Vellore,2014,10492
Tamil Nadu,Villupuram,2014,9643
Tamil Nadu,Virudhunagar,2014,4285
Telangana,Adilabad,2014,6036
Telangana,Karimnagar,2014,9382
Telangana,Khammam,2014,11022
Telangana,Medak,2014,6931
Telangana,Nalgonda,2014,9254
Telangana,Nizamabad,2014,7053
Telangana,Ranga Reddy,2014,2309
Telangana,Warangal,2014,4407
Tripura,Dhalai,2014,363
Tripura,Gomati,2014,825
Tripura,Unakoti,2014,401
Uttar Pradesh,Agra,2014,9518
Uttar Pradesh,Aligarh,2014,8793
Uttar Pradesh,Ambedkar Nagar,2014,1323
Uttar Pradesh,Amethi,2014,1522
Uttar Pradesh,Amroha,2014,2826
Uttar Pradesh,Auraiya,2014,1789
Uttar Pradesh,Azamgarh,2014,2881
Uttar Pradesh,Baghpat,2014,1844
Uttar Pradesh,Bahraich,2014,2249
Uttar Pradesh,Ballia,2014,1674
Uttar Pradesh,Balrampur,2014,549
Uttar Pradesh,Banda,2014,1948
Uttar Pradesh,Barabanki,2014,2471
Uttar Pradesh,Bareilly,2014,6589
Uttar Pradesh,Basti,2014,752
Uttar Pradesh,Bijnor,2014,3475
Uttar Pradesh,Chitrakoot,2014,988
Uttar Pradesh,Deoria,2014,1645
Uttar Pradesh,Etah,2014,2783
Uttar Pradesh,Etawah,2014,2721
Uttar Pradesh,Fatehpur,2014,2559
Uttar Pradesh,Firozabad,2014,4222
Uttar Pradesh,Ghaziabad,2014,10088
Uttar Pradesh,Ghazipur,2014,1945
Uttar Pradesh,Gonda,2014,2021
Uttar Pradesh,Gorakhpur,2014,4537
Uttar Pradesh,Hamirpur,2014,981
Uttar Pradesh,Hapur,2014,1841
Uttar Pradesh,Hardoi,2014,2981
Uttar Pradesh,Hathras,2014,2280
Uttar Pradesh,Jalaun,2014,856
Uttar Pradesh,Jaunpur,2014,2352
Uttar Pradesh,Jhansi,2014,1985
Uttar Pradesh,Kannauj,2014,2103
Uttar Pradesh,Kanpur Dehat,2014,2111
Uttar Pradesh,Kanpur Nagar,2014,8641
Uttar Pradesh,Kasganj,2014,1232
Uttar Pradesh,Kaushambi,2014,1945
Uttar Pradesh,Kushi Nagar,2014,1757
Uttar Pradesh,Lalitpur,2014,962
Uttar Pradesh,Lucknow,2014,15107
Uttar Pradesh,Maharajganj,2014,1162
Uttar Pradesh,Mahoba,2014,814
Uttar Pradesh,Mainpuri,2014,2469
Uttar Pradesh,Mathura,2014,4779
Uttar Pradesh,Mau,2014,1476
Uttar Pradesh,Meerut,2014,10073
Uttar Pradesh,Mirzapur,2014,780
Uttar Pradesh,Moradabad,2014,4026
Uttar Pradesh,Muzaffarnagar,2014,3952
Uttar Pradesh,Pilibhit,2014,2916
Uttar Pradesh,Pratapgarh,2014,4128
Uttar Pradesh,Rampur,2014,1950
Uttar Pradesh,Saharanpur,2014,4184
Uttar Pradesh,Sambhal,2014,2087
Uttar Pradesh,Shahjahanpur,2014,3106
Uttar Pradesh,Shamli,2014,1674
Uttar Pradesh,Sitapur,2014,3923
Uttar Pradesh,Sonbhadra,2014,753
Uttar Pradesh,Sultanpur,2014,2421
Uttar Pradesh,Unnao,2014,3438
Uttar Pradesh,Varanasi,2014,3900
Uttarakhand,Almora,2014,139
Uttarakhand,Bageshwar,2014,77
Uttarakhand,Chamoli,2014,126
Uttarakhand,Champawat,2014,96
Uttarakhand,Dehradun,2014,2178
Uttarakhand,Haridwar,2014,2505
Uttarakhand,Nainital,2014,1095
Uttarakhand,Pauri Garhwal,2014,278
Uttarakhand,Pithoragarh,2014,117
