CRIME_STATE,CRIME_DISTRICT,TOTAL_IPC,CANDIDATE_RANK,GIS_STATE,GIS_DISTRICT,SIMILARITY_SCORE
Karnataka,Bengaluru City,31892,1,Karnataka,Bengaluru Urban,68.97
Karnataka,Bengaluru City,31892,2,Karnataka,Bengaluru Rural,68.97
Karnataka,Bengaluru City,31892,3,Karnataka,Ballari,47.62
Karnataka,Bengaluru District,5567,1,Karnataka,Bengaluru Urban,66.67
Karnataka,Bengaluru District,5567,2,Karnataka,Bengaluru Rural,66.67
Karnataka,Bengaluru District,5567,3,Karnataka,Ballari,40.0
Karnataka,Chamarajnagar,1607,1,Karnataka,Chamarajanagara,92.86
Karnataka,Chamarajnagar,1607,2,Karnataka,Ramanagara,69.57
Karnataka,Chamarajnagar,1607,3,Karnataka,Chikkamagaluru,59.26
Karnataka,Davanagere,3635,1,Karnataka,Davangere,94.74
Karnataka,Davanagere,3635,2,Karnataka,Ramanagara,60.0
Karnataka,Davanagere,3635,3,Karnataka,Haveri,50.0
Karnataka,Hubballi Dharwad City,1936,1,Karnataka,Ballari,50.0
Karnataka,Hubballi Dharwad City,1936,2,Karnataka,Dharwad,50.0
Karnataka,Hubballi Dharwad City,1936,3,Karnataka,Chikkaballapura,44.44
Karnataka,K.G.F.,777,1,Karnataka,Kodagu,36.36
Karnataka,K.G.F.,777,2,Karnataka,Kalaburagi,26.67
Karnataka,K.G.F.,777,3,Karnataka,Chikkamagaluru,21.05
Karnataka,K.Railways,948,1,Karnataka,Kalaburagi,40.0
Karnataka,K.Railways,948,2,Karnataka,Koppal,37.5
Karnataka,K.Railways,948,3,Karnataka,Dharwad,35.29
Karnataka,Kalaburgi,4448,1,Karnataka,Kalaburagi,94.74
Karnataka,Kalaburgi,4448,2,Karnataka,Ballari,62.5
Karnataka,Kalaburgi,4448,3,Karnataka,Kolar,57.14
Karnataka,Mangaluru City,3039,1,Karnataka,Chikkamagaluru,57.14
Karnataka,Mangaluru City,3039,2,Karnataka,Bengaluru Urban,55.17
Karnataka,Mangaluru City,3039,3,Karnataka,Bengaluru Rural,55.17
