MURDER,ATTEMPT_MURDER,CULPABLE_HOMICIDE,RAPE,CUSTODIAL_RAPE,KIDNAPPING_ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,RIOTS,CRIMINAL_BREACH_TRUST,CHEATING,ARSON,DOWRY_DEATHS,ASSAULT_WOMEN,INSULT_WOMEN,CRUELTY_WOMEN,IMPORTATION_GIRLS,DEATH_BY_NEGLIGENCE,OTHER_IPC,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,WOMEN_CRIME_SHARE,YEAR,NEXT_YEAR_WOMEN_CRIME_SHARE,TARGET_YEAR,STATE_UT,DISTRICT,REPORTING_UNIT_KEY,TEST_ROW_ID,PREDICTED_WOMEN_CRIME_SHARE,PREDICTED_WOMEN_CRIME_SHARE_CLIPPED,ABSOLUTE_ERROR,STATE_KEY,DISTRICT_KEY,GIS_EXACT_MATCH,GIS_MATCH_TYPE,GIS_MAPPED_STATE_KEY,GIS_MAPPED_DISTRICT_KEY,GIS_MAPPED,PREDICTED_RISK_BAND
4,4,1,7,0,6,3,10,17,34,8,8,2,5,2,0,9,2,3,0,35,46,263,21,44,72,7,10,0.0798479087452471,2013,0.1124497991967871,2014,Arunachal Pradesh,SIANG WEST,ARUNACHAL PRADESH||SIANG WEST,128,0.083113588117955,0.083113588117955,0.0293362110788321,ARUNACHAL PRADESH,SIANG WEST,False,UNMATCHED,,,False,MEDIUM
4,1,0,5,0,0,1,3,8,18,3,2,0,4,1,0,3,0,0,0,0,32,109,8,17,33,4,3,0.073394495412844,2013,0.0625,2014,Arunachal Pradesh,SUBANSIRI LOWER,ARUNACHAL PRADESH||SUBANSIRI LOWER,131,0.0675797667978217,0.0675797667978217,0.0050797667978217,ARUNACHAL PRADESH,SUBANSIRI LOWER,False,UNMATCHED,,,False,MEDIUM
6,0,0,10,0,5,3,2,5,10,1,1,2,1,6,0,8,0,0,0,2,58,164,18,34,21,3,7,0.1097560975609756,2013,0.1025641025641025,2014,Arunachal Pradesh,SUBANSIRI UPPER,ARUNACHAL PRADESH||SUBANSIRI UPPER,134,0.0751688004526884,0.0751688004526884,0.027395302111414,ARUNACHAL PRADESH,SUBANSIRI UPPER,False,UNMATCHED,,,False,MEDIUM
0,0,0,2,0,1,0,0,3,11,0,0,0,1,0,0,6,0,1,0,7,8,47,9,9,14,1,0,0.1914893617021276,2013,0.025,2014,Arunachal Pradesh,TAWANG,ARUNACHAL PRADESH||TAWANG,137,0.147061213146779,0.147061213146779,0.122061213146779,ARUNACHAL PRADESH,TAWANG,False,UNMATCHED,,,False,HIGH
2,5,0,0,0,3,1,7,10,13,4,1,0,2,1,0,5,0,0,0,2,28,93,5,23,35,2,2,0.053763440860215,2013,0.0427350427350427,2014,Arunachal Pradesh,TIRAP,ARUNACHAL PRADESH||TIRAP,140,0.0395515322899642,0.0395515322899642,0.0031835104450784,ARUNACHAL PRADESH,TIRAP,False,UNMATCHED,,,False,LOW
46,18,0,148,0,349,20,31,335,433,111,236,168,230,19,18,341,0,1016,0,445,4580,8597,1523,953,930,398,255,0.1771548214493428,2013,0.20273851590106,2014,Assam,BARPETA,ASSAM||BARPETA,146,0.1574277085069384,0.1574277085069384,0.0453108073941215,ASSAM,BARPETA,True,EXACT,ASSAM,BARPETA,True,HIGH
20,2,0,68,0,120,7,8,63,127,65,22,15,39,8,9,4,0,100,0,82,769,1565,181,229,270,54,30,0.1156549520766773,2013,0.1235326998323085,2014,Assam,BONGAIGAON,ASSAM||BONGAIGAON,150,0.1104272207552996,0.1104272207552996,0.0131054790770088,ASSAM,BONGAIGAON,True,EXACT,ASSAM,BONGAIGAON,True,HIGH
59,3,0,79,0,227,12,17,206,821,336,226,54,97,52,12,25,0,537,0,94,2278,4880,653,422,1392,151,278,0.133811475409836,2013,0.1312056737588652,2014,Assam,CACHAR,ASSAM||CACHAR,153,0.1326454288917078,0.1326454288917078,0.0014397551328426,ASSAM,CACHAR,True,EXACT,ASSAM,CACHAR,True,HIGH
33,0,0,30,0,70,2,10,20,76,25,35,10,33,12,1,21,0,78,0,17,309,763,130,166,133,43,47,0.1703800786369593,2013,0.149478563151796,2014,Assam,CHIRANG,ASSAM||CHIRANG,156,0.1477932882820967,0.1477932882820967,0.0016852748696992,ASSAM,CHIRANG,True,EXACT,ASSAM,CHIRANG,True,HIGH
35,0,0,92,0,147,6,13,145,225,93,66,44,118,5,3,239,0,378,0,63,581,2459,712,532,482,162,71,0.2895485969906466,2013,0.2727505767751858,2014,Assam,DARRANG,ASSAM||DARRANG,161,0.2299122726136262,0.2299122726136262,0.0428383041615595,ASSAM,DARRANG,True,EXACT,ASSAM,DARRANG,True,HIGH
