State/ UT,Sl. No.,District/ Area,Year,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Abetment of Suicides of Women,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986",Protection of Children from Sexual Offences Act,"Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,Total Crimes against Women
Uttarakhand,11,Tehri Garhwal,2015.0,8.0,0.0,16.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
Uttarakhand,12,Udhamsingh Nagar,2015.0,72.0,0.0,94.0,14.0,72.0,0.0,120.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,382.0
Uttarakhand,13,Uttarkashi,2015.0,12.0,0.0,9.0,0.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
West Bengal,1,North 24 Parganas,2015.0,69.0,118.0,383.0,45.0,302.0,20.0,1748.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2690.0
West Bengal,2,South 24 Parganas,2015.0,111.0,125.0,375.0,31.0,250.0,18.0,3160.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4073.0
West Bengal,3,Alipurduar,2015.0,33.0,30.0,76.0,7.0,118.0,2.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0
West Bengal,4,Asansol-Durgapur PC,2015.0,35.0,20.0,71.0,17.0,103.0,2.0,417.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,668.0
West Bengal,5,Bankura,2015.0,24.0,21.0,76.0,14.0,121.0,7.0,333.0,0.0,15.0,1.0,0.0,0.0,0.0,1.0,613.0
West Bengal,6,Barrackpur PC,2015.0,30.0,16.0,137.0,23.0,318.0,9.0,1201.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1738.0
West Bengal,7,Bidhannagar PC,2015.0,12.0,8.0,18.0,6.0,150.0,11.0,308.0,0.0,9.0,0.0,0.0,0.0,0.0,10.0,532.0
West Bengal,8,Birbhum,2015.0,33.0,30.0,28.0,15.0,104.0,3.0,292.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,508.0
West Bengal,9,Burdwan,2015.0,55.0,75.0,172.0,21.0,247.0,0.0,707.0,0.0,5.0,0.0,0.0,0.0,0.0,19.0,1301.0
West Bengal,10,Coochbehar,2015.0,63.0,121.0,177.0,15.0,131.0,4.0,640.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,1169.0
West Bengal,11,Dakshin Dinajpur,2015.0,16.0,30.0,97.0,18.0,101.0,4.0,293.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,562.0
West Bengal,12,Darjeeling,2015.0,17.0,14.0,35.0,3.0,129.0,4.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,404.0
West Bengal,13,Hooghly,2015.0,36.0,36.0,169.0,36.0,209.0,1.0,1142.0,0.0,42.0,2.0,0.0,0.0,2.0,2.0,1677.0
West Bengal,14,Howrah G. R. P.,2015.0,3.0,0.0,4.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
West Bengal,15,Howrah PC,2015.0,13.0,6.0,49.0,4.0,234.0,33.0,514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0
